Date,Crop,Unit,Price
2022-01-24,Coconut,₹/100 pieces,2832.34
2022-01-24,Cotton,₹/quintal,8669.81
2022-01-24,Cotton,₹/quintal,7558.23
2022-01-25,Banana,₹/kg,35.38
2022-01-25,Mungbean,₹/quintal,6707.22
2022-01-25,Mungbean,₹/quintal,6848.1
2022-01-25,Pomegranate,₹/kg,148.9
2022-01-25,Coconut,₹/100 pieces,2811.45
2022-01-26,Chickpea,₹/quintal,5406.21
2022-01-26,Grapes,₹/kg,74.45
2022-01-26,Coconut,₹/100 pieces,2193.88
2022-01-26,Jute,₹/quintal,6304.27
2022-01-27,Maize,₹/quintal,2090.18
2022-01-28,Apple,₹/kg,95.3
2022-01-28,Mothbeans,₹/quintal,6530.36
2022-01-28,Papaya,₹/kg,29.31
2022-01-28,Coffee,₹/kg,318.88
2022-01-28,Watermelon,₹/kg,13.34
2022-01-28,Kidneybeans,₹/quintal,8221.82
2022-01-28,Pomegranate,₹/kg,75.88
2022-01-28,Kidneybeans,₹/quintal,7327.44
2022-01-28,Mango,₹/kg,84.91
2022-01-28,Muskmelon,₹/kg,26.28
2022-01-29,Kidneybeans,₹/quintal,8089.53
2022-01-29,Mothbeans,₹/quintal,7261.46
2022-01-29,Apple,₹/kg,126.07
2022-01-29,Mothbeans,₹/quintal,7049.36
2022-01-29,Papaya,₹/kg,33.13
2022-01-29,Grapes,₹/kg,112.75
2022-01-29,Kidneybeans,₹/quintal,7635.28
2022-01-30,Jute,₹/quintal,5285.44
2022-01-30,Watermelon,₹/kg,23.18
2022-01-30,Pigeonpeas,₹/quintal,8419.18
2022-01-31,Pigeonpeas,₹/quintal,7178.05
2022-01-31,Kidneybeans,₹/quintal,7221.02
2022-01-31,Grapes,₹/kg,65.05
2022-01-31,Mango,₹/kg,52.19
2022-01-31,Orange,₹/kg,51.86
2022-01-31,Mango,₹/kg,69.79
2022-02-01,Papaya,₹/kg,43.55
2022-02-01,Muskmelon,₹/kg,32.68
2022-02-01,Grapes,₹/kg,40.67
2022-02-02,Orange,₹/kg,46.99
2022-02-02,Mango,₹/kg,176.12
2022-02-02,Orange,₹/kg,49.18
2022-02-02,Apple,₹/kg,117.72
2022-02-03,Apple,₹/kg,133.82
2022-02-03,Blackgram,₹/quintal,6575.29
2022-02-03,Jute,₹/quintal,4714.61
2022-02-04,Banana,₹/kg,18.72
2022-02-04,Apple,₹/kg,167.91
2022-02-04,Pigeonpeas,₹/quintal,6278.16
2022-02-04,Kidneybeans,₹/quintal,8591.17
2022-02-04,Apple,₹/kg,97.77
2022-02-04,Orange,₹/kg,59.27
2022-02-05,Watermelon,₹/kg,11.96
2022-02-05,Pigeonpeas,₹/quintal,6474.9
2022-02-05,Maize,₹/quintal,2309.18
2022-02-05,Orange,₹/kg,45.97
2022-02-05,Muskmelon,₹/kg,20.67
2022-02-05,Cotton,₹/quintal,8485.42
2022-02-06,Banana,₹/kg,37.46
2022-02-06,Mothbeans,₹/quintal,6500.06
2022-02-06,Muskmelon,₹/kg,32.27
2022-02-06,Jute,₹/quintal,6373.45
2022-02-06,Kidneybeans,₹/quintal,8600.62
2022-02-06,Watermelon,₹/kg,23.53
2022-02-06,Rice,₹/quintal,2118.48
2022-02-07,Maize,₹/quintal,2365.12
2022-02-07,Rice,₹/quintal,2566.16
2022-02-07,Lentil,₹/quintal,6028.63
2022-02-07,Rice,₹/quintal,2098.6
2022-02-07,Mungbean,₹/quintal,7638.55
2022-02-07,Kidneybeans,₹/quintal,8511.27
2022-02-07,Maize,₹/quintal,2143.7
2022-02-07,Grapes,₹/kg,57.67
2022-02-07,Kidneybeans,₹/quintal,8512.55
2022-02-07,Apple,₹/kg,110.33
2022-02-08,Kidneybeans,₹/quintal,7863.58
2022-02-08,Mango,₹/kg,130.18
2022-02-08,Mothbeans,₹/quintal,6736.47
2022-02-08,Lentil,₹/quintal,6145.94
2022-02-08,Pomegranate,₹/kg,109.42
2022-02-08,Muskmelon,₹/kg,27.66
2022-02-08,Pomegranate,₹/kg,97.59
2022-02-09,Pigeonpeas,₹/quintal,6160.68
2022-02-09,Kidneybeans,₹/quintal,7514.72
2022-02-09,Watermelon,₹/kg,17.43
2022-02-09,Mothbeans,₹/quintal,7182.29
2022-02-10,Watermelon,₹/kg,10.36
2022-02-10,Coffee,₹/kg,160.62
2022-02-10,Blackgram,₹/quintal,6046.5
2022-02-10,Banana,₹/kg,34.92
2022-02-11,Muskmelon,₹/kg,42.66
2022-02-11,Coconut,₹/100 pieces,2614.49
2022-02-12,Mango,₹/kg,51.33
2022-02-12,Watermelon,₹/kg,22.28
2022-02-12,Rice,₹/quintal,2288.28
2022-02-12,Muskmelon,₹/kg,27.06
2022-02-12,Pomegranate,₹/kg,133.91
2022-02-12,Pomegranate,₹/kg,104.25
2022-02-12,Chickpea,₹/quintal,5127.97
2022-02-12,Orange,₹/kg,58.96
2022-02-13,Rice,₹/quintal,2186.29
2022-02-13,Lentil,₹/quintal,6676.13
2022-02-13,Watermelon,₹/kg,17.71
2022-02-13,Blackgram,₹/quintal,7759.02
2022-02-13,Jute,₹/quintal,6494.98
2022-02-13,Cotton,₹/quintal,7654.46
2022-02-14,Kidneybeans,₹/quintal,7695.45
2022-02-14,Kidneybeans,₹/quintal,9169.9
2022-02-15,Blackgram,₹/quintal,6880.68
2022-02-15,Maize,₹/quintal,2371.72
2022-02-15,Orange,₹/kg,48.97
2022-02-16,Watermelon,₹/kg,12.93
2022-02-16,Mango,₹/kg,145.32
2022-02-17,Pigeonpeas,₹/quintal,6946.15
2022-02-17,Muskmelon,₹/kg,23.22
2022-02-17,Chickpea,₹/quintal,5278.27
2022-02-17,Banana,₹/kg,18.07
2022-02-18,Mothbeans,₹/quintal,5806.94
2022-02-18,Muskmelon,₹/kg,41.65
2022-02-19,Orange,₹/kg,38.27
2022-02-19,Mungbean,₹/quintal,7410.28
2022-02-19,Mungbean,₹/quintal,6852.11
2022-02-19,Rice,₹/quintal,2492.17
2022-02-19,Mungbean,₹/quintal,6577.38
2022-02-19,Rice,₹/quintal,2414.22
2022-02-19,Mothbeans,₹/quintal,6092.7
2022-02-20,Coffee,₹/kg,249.94
2022-02-20,Lentil,₹/quintal,6996.1
2022-02-20,Muskmelon,₹/kg,43.29
2022-02-21,Coconut,₹/100 pieces,2177.74
2022-02-21,Maize,₹/quintal,2158.56
2022-02-21,Grapes,₹/kg,45.76
2022-02-21,Blackgram,₹/quintal,6357.62
2022-02-21,Blackgram,₹/quintal,6721.6
2022-02-21,Coconut,₹/100 pieces,2026.62
2022-02-22,Pigeonpeas,₹/quintal,8325.51
2022-02-22,Watermelon,₹/kg,23.57
2022-02-22,Chickpea,₹/quintal,5424.92
2022-02-23,Lentil,₹/quintal,6467.4
2022-02-23,Jute,₹/quintal,4920.77
2022-02-23,Mothbeans,₹/quintal,6365.8
2022-02-23,Watermelon,₹/kg,15.7
2022-02-23,Mothbeans,₹/quintal,7357.26
2022-02-23,Chickpea,₹/quintal,4717.23
2022-02-24,Maize,₹/quintal,2323.88
2022-02-24,Blackgram,₹/quintal,6798.08
2022-02-24,Apple,₹/kg,86.78
2022-02-24,Coconut,₹/100 pieces,2320.4
2022-02-25,Grapes,₹/kg,112.4
2022-02-25,Maize,₹/quintal,2150.25
2022-02-25,Pomegranate,₹/kg,119.75
2022-02-25,Watermelon,₹/kg,18.41
2022-02-25,Muskmelon,₹/kg,22.27
2022-02-25,Pigeonpeas,₹/quintal,8456.32
2022-02-25,Orange,₹/kg,46.95
2022-02-25,Lentil,₹/quintal,6428.75
2022-02-25,Blackgram,₹/quintal,6061.67
2022-02-25,Mango,₹/kg,102.5
2022-02-25,Grapes,₹/kg,109.44
2022-02-26,Coconut,₹/100 pieces,2724.33
2022-02-26,Banana,₹/kg,32.94
2022-02-27,Coconut,₹/100 pieces,2786.0
2022-02-27,Coconut,₹/100 pieces,1995.83
2022-02-27,Chickpea,₹/quintal,5392.61
2022-02-27,Coconut,₹/100 pieces,2434.95
2022-02-27,Coffee,₹/kg,364.87
2022-02-27,Chickpea,₹/quintal,5436.74
2022-02-28,Papaya,₹/kg,25.22
2022-02-28,Apple,₹/kg,105.81
2022-03-01,Mungbean,₹/quintal,7818.04
2022-03-01,Maize,₹/quintal,1893.05
2022-03-01,Banana,₹/kg,34.45
2022-03-01,Cotton,₹/quintal,6667.84
2022-03-02,Chickpea,₹/quintal,5066.67
2022-03-02,Blackgram,₹/quintal,7941.13
2022-03-02,Kidneybeans,₹/quintal,8905.75
2022-03-02,Coffee,₹/kg,261.29
2022-03-03,Pigeonpeas,₹/quintal,8155.35
2022-03-03,Maize,₹/quintal,2018.69
2022-03-03,Coconut,₹/100 pieces,2328.67
2022-03-04,Kidneybeans,₹/quintal,7802.3
2022-03-04,Mungbean,₹/quintal,6737.42
2022-03-04,Pomegranate,₹/kg,112.86
2022-03-04,Chickpea,₹/quintal,4731.71
2022-03-04,Chickpea,₹/quintal,4825.54
2022-03-05,Blackgram,₹/quintal,7213.05
2022-03-05,Pomegranate,₹/kg,134.23
2022-03-05,Jute,₹/quintal,5629.8
2022-03-05,Apple,₹/kg,105.41
2022-03-05,Blackgram,₹/quintal,6906.01
2022-03-06,Grapes,₹/kg,61.86
2022-03-06,Pomegranate,₹/kg,139.45
2022-03-06,Mango,₹/kg,114.4
2022-03-06,Mango,₹/kg,177.64
2022-03-06,Pomegranate,₹/kg,138.0
2022-03-06,Banana,₹/kg,30.58
2022-03-06,Chickpea,₹/quintal,4804.43
2022-03-07,Maize,₹/quintal,1926.02
2022-03-07,Mango,₹/kg,138.68
2022-03-07,Grapes,₹/kg,85.24
2022-03-07,Lentil,₹/quintal,5878.54
2022-03-07,Mothbeans,₹/quintal,5674.93
2022-03-07,Grapes,₹/kg,49.44
2022-03-08,Jute,₹/quintal,4966.77
2022-03-08,Kidneybeans,₹/quintal,9416.67
2022-03-08,Muskmelon,₹/kg,37.69
2022-03-08,Banana,₹/kg,36.35
2022-03-08,Coconut,₹/100 pieces,1893.16
2022-03-08,Coconut,₹/100 pieces,2381.99
2022-03-08,Grapes,₹/kg,73.25
2022-03-09,Jute,₹/quintal,4939.53
2022-03-09,Jute,₹/quintal,5507.82
2022-03-09,Muskmelon,₹/kg,22.62
2022-03-09,Blackgram,₹/quintal,6017.03
2022-03-09,Jute,₹/quintal,5455.72
2022-03-09,Pomegranate,₹/kg,93.62
2022-03-09,Muskmelon,₹/kg,22.45
2022-03-09,Lentil,₹/quintal,6204.99
2022-03-10,Rice,₹/quintal,2230.2
2022-03-11,Muskmelon,₹/kg,27.13
2022-03-11,Papaya,₹/kg,27.3
2022-03-11,Mothbeans,₹/quintal,7239.81
2022-03-12,Mungbean,₹/quintal,6952.0
2022-03-12,Mungbean,₹/quintal,6991.0
2022-03-13,Lentil,₹/quintal,6636.4
2022-03-13,Apple,₹/kg,104.68
2022-03-13,Banana,₹/kg,30.09
2022-03-14,Banana,₹/kg,37.57
2022-03-14,Grapes,₹/kg,80.22
2022-03-14,Blackgram,₹/quintal,7414.24
2022-03-14,Mango,₹/kg,52.26
2022-03-14,Mothbeans,₹/quintal,5873.04
2022-03-14,Coffee,₹/kg,323.15
2022-03-14,Banana,₹/kg,33.66
2022-03-14,Pomegranate,₹/kg,95.69
2022-03-14,Grapes,₹/kg,112.48
2022-03-15,Mothbeans,₹/quintal,6825.46
2022-03-15,Mungbean,₹/quintal,7430.72
2022-03-15,Coconut,₹/100 pieces,2353.87
2022-03-15,Jute,₹/quintal,6147.15
2022-03-15,Coconut,₹/100 pieces,1571.66
2022-03-15,Lentil,₹/quintal,6148.23
2022-03-16,Rice,₹/quintal,2153.72
2022-03-16,Apple,₹/kg,174.99
2022-03-16,Orange,₹/kg,45.08
2022-03-17,Kidneybeans,₹/quintal,7834.42
2022-03-17,Pomegranate,₹/kg,102.01
2022-03-17,Banana,₹/kg,25.06
2022-03-17,Chickpea,₹/quintal,4934.85
2022-03-17,Maize,₹/quintal,1881.8
2022-03-17,Apple,₹/kg,121.53
2022-03-17,Mango,₹/kg,175.09
2022-03-17,Coconut,₹/100 pieces,2843.47
2022-03-17,Blackgram,₹/quintal,6458.01
2022-03-17,Maize,₹/quintal,2369.77
2022-03-18,Maize,₹/quintal,1858.98
2022-03-19,Coconut,₹/100 pieces,2775.84
2022-03-19,Kidneybeans,₹/quintal,8597.33
2022-03-20,Mothbeans,₹/quintal,7301.0
2022-03-20,Chickpea,₹/quintal,5273.11
2022-03-21,Pomegranate,₹/kg,80.84
2022-03-21,Banana,₹/kg,34.28
2022-03-21,Pigeonpeas,₹/quintal,6282.77
2022-03-21,Orange,₹/kg,52.41
2022-03-22,Cotton,₹/quintal,7031.53
2022-03-22,Muskmelon,₹/kg,24.62
2022-03-23,Mango,₹/kg,131.01
2022-03-24,Blackgram,₹/quintal,6260.38
2022-03-24,Kidneybeans,₹/quintal,8042.53
2022-03-24,Kidneybeans,₹/quintal,8056.93
2022-03-24,Chickpea,₹/quintal,5200.17
2022-03-24,Mothbeans,₹/quintal,6042.06
2022-03-24,Muskmelon,₹/kg,32.99
2022-03-24,Watermelon,₹/kg,11.27
2022-03-24,Mothbeans,₹/quintal,7295.36
2022-03-24,Cotton,₹/quintal,6604.4
2022-03-25,Muskmelon,₹/kg,42.61
2022-03-25,Pomegranate,₹/kg,73.0
2022-03-25,Banana,₹/kg,37.45
2022-03-25,Jute,₹/quintal,5862.17
2022-03-25,Lentil,₹/quintal,6854.74
2022-03-25,Banana,₹/kg,19.58
2022-03-25,Coffee,₹/kg,344.59
2022-03-25,Papaya,₹/kg,41.49
2022-03-26,Chickpea,₹/quintal,5460.84
2022-03-26,Rice,₹/quintal,2522.33
2022-03-26,Muskmelon,₹/kg,39.7
2022-03-26,Chickpea,₹/quintal,5493.53
2022-03-27,Banana,₹/kg,19.75
2022-03-27,Kidneybeans,₹/quintal,8773.24
2022-03-27,Orange,₹/kg,33.25
2022-03-28,Blackgram,₹/quintal,6971.07
2022-03-28,Pomegranate,₹/kg,116.25
2022-03-28,Mungbean,₹/quintal,6902.45
2022-03-28,Orange,₹/kg,31.37
2022-03-29,Watermelon,₹/kg,10.14
2022-03-29,Rice,₹/quintal,2488.69
2022-03-29,Pomegranate,₹/kg,92.87
2022-03-29,Pomegranate,₹/kg,123.12
2022-03-29,Kidneybeans,₹/quintal,8484.03
2022-03-29,Jute,₹/quintal,6478.41
2022-03-30,Orange,₹/kg,36.83
2022-03-30,Papaya,₹/kg,25.5
2022-03-30,Rice,₹/quintal,2153.74
2022-03-30,Muskmelon,₹/kg,31.85
2022-03-30,Grapes,₹/kg,50.66
2022-03-30,Mothbeans,₹/quintal,6704.47
2022-03-31,Grapes,₹/kg,88.85
2022-03-31,Pomegranate,₹/kg,78.8
2022-03-31,Lentil,₹/quintal,6817.14
2022-03-31,Coffee,₹/kg,388.91
2022-04-01,Mungbean,₹/quintal,6565.56
2022-04-01,Lentil,₹/quintal,6786.87
2022-04-01,Maize,₹/quintal,2250.19
2022-04-01,Blackgram,₹/quintal,6414.24
2022-04-01,Apple,₹/kg,97.9
2022-04-01,Orange,₹/kg,47.49
2022-04-01,Watermelon,₹/kg,17.35
2022-04-02,Blackgram,₹/quintal,6342.72
2022-04-02,Cotton,₹/quintal,6642.62
2022-04-02,Grapes,₹/kg,118.18
2022-04-02,Watermelon,₹/kg,24.64
2022-04-02,Maize,₹/quintal,2103.07
2022-04-02,Pomegranate,₹/kg,73.89
2022-04-03,Blackgram,₹/quintal,7741.88
2022-04-03,Banana,₹/kg,29.66
2022-04-03,Blackgram,₹/quintal,6187.07
2022-04-03,Pigeonpeas,₹/quintal,8143.32
2022-04-03,Papaya,₹/kg,21.8
2022-04-03,Kidneybeans,₹/quintal,7487.24
2022-04-04,Mothbeans,₹/quintal,5520.51
2022-04-04,Mothbeans,₹/quintal,7071.29
2022-04-04,Apple,₹/kg,140.75
2022-04-05,Maize,₹/quintal,2228.5
2022-04-06,Mungbean,₹/quintal,7767.57
2022-04-06,Coffee,₹/kg,229.7
2022-04-06,Pomegranate,₹/kg,116.56
2022-04-07,Mothbeans,₹/quintal,5513.53
2022-04-07,Grapes,₹/kg,93.4
2022-04-07,Mungbean,₹/quintal,7880.34
2022-04-08,Coffee,₹/kg,243.9
2022-04-08,Orange,₹/kg,32.94
2022-04-08,Papaya,₹/kg,26.02
2022-04-08,Rice,₹/quintal,2629.93
2022-04-09,Jute,₹/quintal,5895.98
2022-04-09,Cotton,₹/quintal,7447.26
2022-04-09,Mungbean,₹/quintal,7882.18
2022-04-09,Mango,₹/kg,98.39
2022-04-09,Papaya,₹/kg,35.59
2022-04-10,Lentil,₹/quintal,5718.92
2022-04-10,Chickpea,₹/quintal,5110.87
2022-04-10,Blackgram,₹/quintal,6492.33
2022-04-10,Orange,₹/kg,64.44
2022-04-10,Rice,₹/quintal,2051.44
2022-04-11,Cotton,₹/quintal,8715.67
2022-04-11,Grapes,₹/kg,97.62
2022-04-12,Mango,₹/kg,145.29
2022-04-12,Kidneybeans,₹/quintal,7150.86
2022-04-12,Coconut,₹/100 pieces,2024.7
2022-04-12,Coffee,₹/kg,362.54
2022-04-13,Pigeonpeas,₹/quintal,7502.89
2022-04-13,Coconut,₹/100 pieces,1702.55
2022-04-13,Kidneybeans,₹/quintal,8516.25
2022-04-13,Chickpea,₹/quintal,5068.6
2022-04-14,Papaya,₹/kg,46.95
2022-04-14,Grapes,₹/kg,73.19
2022-04-14,Papaya,₹/kg,38.27
2022-04-14,Orange,₹/kg,34.15
2022-04-15,Cotton,₹/quintal,8131.82
2022-04-15,Orange,₹/kg,32.6
2022-04-15,Chickpea,₹/quintal,4803.17
2022-04-15,Grapes,₹/kg,43.62
2022-04-16,Coconut,₹/100 pieces,2073.87
2022-04-16,Maize,₹/quintal,2296.96
2022-04-17,Watermelon,₹/kg,12.53
2022-04-17,Rice,₹/quintal,2062.7
2022-04-17,Orange,₹/kg,59.68
2022-04-17,Grapes,₹/kg,76.94
2022-04-17,Banana,₹/kg,38.76
2022-04-18,Cotton,₹/quintal,7633.73
2022-04-18,Grapes,₹/kg,46.0
2022-04-18,Muskmelon,₹/kg,26.36
2022-04-18,Cotton,₹/quintal,8263.5
2022-04-19,Coffee,₹/kg,241.53
2022-04-19,Kidneybeans,₹/quintal,8167.58
2022-04-19,Rice,₹/quintal,2003.67
2022-04-19,Jute,₹/quintal,6162.15
2022-04-19,Maize,₹/quintal,2274.98
2022-04-20,Mungbean,₹/quintal,7926.95
2022-04-20,Grapes,₹/kg,65.83
2022-04-20,Pigeonpeas,₹/quintal,6132.27
2022-04-20,Pomegranate,₹/kg,78.34
2022-04-21,Pomegranate,₹/kg,69.51
2022-04-21,Pomegranate,₹/kg,146.29
2022-04-21,Rice,₹/quintal,2015.65
2022-04-21,Pomegranate,₹/kg,69.21
2022-04-21,Muskmelon,₹/kg,27.56
2022-04-21,Grapes,₹/kg,113.43
2022-04-21,Banana,₹/kg,31.34
2022-04-21,Mango,₹/kg,103.67
2022-04-22,Rice,₹/quintal,2112.27
2022-04-22,Mungbean,₹/quintal,7194.87
2022-04-22,Blackgram,₹/quintal,6647.07
2022-04-23,Pomegranate,₹/kg,105.1
2022-04-23,Mothbeans,₹/quintal,7119.04
2022-04-23,Lentil,₹/quintal,7000.0
2022-04-24,Watermelon,₹/kg,16.13
2022-04-24,Pomegranate,₹/kg,93.62
2022-04-24,Maize,₹/quintal,2037.11
2022-04-24,Cotton,₹/quintal,6390.52
2022-04-24,Chickpea,₹/quintal,4877.23
2022-04-24,Grapes,₹/kg,60.57
2022-04-25,Jute,₹/quintal,5576.1
2022-04-25,Banana,₹/kg,36.94
2022-04-25,Mango,₹/kg,159.93
2022-04-25,Blackgram,₹/quintal,6090.3
2022-04-25,Grapes,₹/kg,111.63
2022-04-26,Chickpea,₹/quintal,5268.37
2022-04-26,Lentil,₹/quintal,6298.0
2022-04-26,Mungbean,₹/quintal,7348.9
2022-04-26,Coconut,₹/100 pieces,2499.89
2022-04-26,Banana,₹/kg,30.41
2022-04-27,Rice,₹/quintal,2086.04
2022-04-27,Mungbean,₹/quintal,7423.34
2022-04-27,Kidneybeans,₹/quintal,9172.68
2022-04-27,Apple,₹/kg,131.9
2022-04-27,Chickpea,₹/quintal,4688.53
2022-04-27,Mango,₹/kg,49.53
2022-04-28,Pomegranate,₹/kg,147.26
2022-04-28,Pigeonpeas,₹/quintal,8082.38
2022-04-28,Jute,₹/quintal,5279.95
2022-04-28,Maize,₹/quintal,2139.3
2022-04-29,Pigeonpeas,₹/quintal,7706.57
2022-04-29,Mungbean,₹/quintal,7577.07
2022-04-29,Coconut,₹/100 pieces,1819.92
2022-04-29,Kidneybeans,₹/quintal,7550.67
2022-04-30,Lentil,₹/quintal,6982.74
2022-04-30,Banana,₹/kg,21.47
2022-04-30,Rice,₹/quintal,2369.48
2022-04-30,Papaya,₹/kg,41.47
2022-04-30,Jute,₹/quintal,5135.93
2022-05-02,Mango,₹/kg,68.84
2022-05-02,Chickpea,₹/quintal,4735.21
2022-05-03,Mungbean,₹/quintal,7690.74
2022-05-03,Lentil,₹/quintal,5782.45
2022-05-03,Muskmelon,₹/kg,24.48
2022-05-03,Mango,₹/kg,135.94
2022-05-03,Pigeonpeas,₹/quintal,6734.92
2022-05-04,Grapes,₹/kg,80.42
2022-05-04,Grapes,₹/kg,44.42
2022-05-04,Coffee,₹/kg,352.67
2022-05-05,Papaya,₹/kg,21.84
2022-05-05,Lentil,₹/quintal,6545.03
2022-05-05,Kidneybeans,₹/quintal,9081.77
2022-05-06,Maize,₹/quintal,2285.83
2022-05-06,Grapes,₹/kg,106.52
2022-05-06,Muskmelon,₹/kg,27.52
2022-05-06,Rice,₹/quintal,2405.41
2022-05-07,Cotton,₹/quintal,6821.48
2022-05-07,Coconut,₹/100 pieces,1989.55
2022-05-07,Blackgram,₹/quintal,7748.63
2022-05-08,Cotton,₹/quintal,7221.89
2022-05-08,Orange,₹/kg,56.63
2022-05-08,Pigeonpeas,₹/quintal,7573.35
2022-05-08,Coffee,₹/kg,327.9
2022-05-08,Grapes,₹/kg,75.71
2022-05-08,Mungbean,₹/quintal,7130.27
2022-05-08,Papaya,₹/kg,37.48
2022-05-09,Pomegranate,₹/kg,127.91
2022-05-09,Jute,₹/quintal,5397.12
2022-05-09,Coffee,₹/kg,213.72
2022-05-09,Coconut,₹/100 pieces,2485.66
2022-05-10,Kidneybeans,₹/quintal,7899.03
2022-05-10,Mungbean,₹/quintal,6710.08
2022-05-10,Pigeonpeas,₹/quintal,8141.94
